model,feature_type,feature,coefficient,abs_coefficient
M3_l1_tokens_bigrams_plus_qid_fe,qid,226,0.5905921121349887,0.5905921121349887
M3_l1_tokens_bigrams_plus_qid_fe,token,derive-intermediate conclude,-0.5751420696885762,0.5751420696885762
M3_l1_tokens_bigrams_plus_qid_fe,token,simplify rewrite,-0.49850346601821216,0.49850346601821216
M3_l1_tokens_bigrams_plus_qid_fe,token,backtrack,-0.4652020666464306,0.4652020666464306
M3_l1_tokens_bigrams_plus_qid_fe,token,factor check-constraint,0.4551175333314379,0.4551175333314379
M3_l1_tokens_bigrams_plus_qid_fe,token,enumerate filter,0.44183052757307684,0.44183052757307684
M3_l1_tokens_bigrams_plus_qid_fe,qid,49,0.40839336590421393,0.40839336590421393
M3_l1_tokens_bigrams_plus_qid_fe,qid,1312,-0.40085195720349726,0.40085195720349726
M3_l1_tokens_bigrams_plus_qid_fe,token,rewrite analyze,0.383794198010692,0.383794198010692
M3_l1_tokens_bigrams_plus_qid_fe,qid,923,-0.37734666201477696,0.37734666201477696
M3_l1_tokens_bigrams_plus_qid_fe,qid,165,0.3702925016550957,0.3702925016550957
M3_l1_tokens_bigrams_plus_qid_fe,token,analyze instantiate,0.35127064148768455,0.35127064148768455
M3_l1_tokens_bigrams_plus_qid_fe,token,derive-intermediate compare,0.3505456224616884,0.3505456224616884
M3_l1_tokens_bigrams_plus_qid_fe,token,simplify isolate,0.3282098030535216,0.3282098030535216
M3_l1_tokens_bigrams_plus_qid_fe,token,compute conclude,-0.3157626389893063,0.3157626389893063
M3_l1_tokens_bigrams_plus_qid_fe,token,analyze rewrite,0.30591199330844493,0.30591199330844493
M3_l1_tokens_bigrams_plus_qid_fe,token,compute check-constraint,-0.2968722804612383,0.2968722804612383
M3_l1_tokens_bigrams_plus_qid_fe,token,apply-formula derive-intermediate,-0.294833683357725,0.294833683357725
M3_l1_tokens_bigrams_plus_qid_fe,token,instantiate derive-intermediate,-0.28852635438793023,0.28852635438793023
M3_l1_tokens_bigrams_plus_qid_fe,token,derive-intermediate case-split,-0.26388347442333376,0.26388347442333376
M3_l1_tokens_bigrams_plus_qid_fe,token,rewrite check-constraint,-0.2404841212693649,0.2404841212693649
M3_l1_tokens_bigrams_plus_qid_fe,token,apply-formula compute,-0.23793106642258394,0.23793106642258394
M3_l1_tokens_bigrams_plus_qid_fe,token,analyze apply-formula,0.233336988066831,0.233336988066831
