motif,motif_len,support_total,support_correct,support_incorrect,support_rate,p_correct_given_motif,p_incorrect_given_motif,baseline_correct_rate,baseline_incorrect_rate,delta_correct_vs_baseline,lift_correct,lift_incorrect,log_odds_ratio,indicator_direction,indicator_strength
conclude compute,2,203,132,71,0.0867892261650278,0.6502463054187192,0.3497536945812808,0.5096194955109021,0.4903805044890979,0.14062680990781706,1.2759447217905906,0.7132291993248612,0.6318597385259953,success,0.14062680990781706
case-split compute,2,113,42,71,0.04831124412141941,0.37168141592920356,0.6283185840707964,0.5096194955109021,0.4903805044890979,-0.13793807958169857,0.7293312347805428,1.2812878536543966,-0.5866749664405939,failure,0.13793807958169857
compute simplify conclude,3,164,106,58,0.07011543394613083,0.6463414634146342,0.35365853658536583,0.5096194955109021,0.4903805044890979,0.13672196790373203,1.2682824521198233,0.7211920811448742,0.6018755855998592,success,0.13672196790373203
derive-intermediate instantiate,2,129,83,46,0.055151774262505344,0.6434108527131783,0.35658914728682173,0.5096194955109021,0.4903805044890979,0.1337913572022762,1.2625318661880236,0.7271682785561255,0.5781577431332483,success,0.1337913572022762
analyze derive-intermediate,2,109,42,67,0.04660111158614793,0.3853211009174312,0.6146788990825688,0.5096194955109021,0.4903805044890979,-0.12429839459347092,0.756095683763315,1.253473360901594,-0.5253962554765929,failure,0.12429839459347092
compute compute compute compute compute,5,279,108,171,0.11928174433518597,0.3870967741935484,0.6129032258064516,0.5096194955109021,0.4903805044890979,-0.12252272131735376,0.7595799956700584,1.2498523497482914,-0.5627326735756757,failure,0.12252272131735376
rewrite apply-formula,2,276,173,103,0.11799914493373237,0.6268115942028986,0.37318840579710144,0.5096194955109021,0.4903805044890979,0.11719209869199643,1.229959999027332,0.7610180306533743,0.5408319776636008,success,0.11719209869199643
derive-intermediate apply-formula,2,120,75,45,0.051303976058144504,0.625,0.375,0.5096194955109021,0.4903805044890979,0.11538050448909787,1.2264052013422817,0.7647122929380994,0.4929066111313515,success,0.11538050448909787
rewrite analyze,2,105,65,40,0.04489097905087644,0.6190476190476191,0.38095238095238093,0.5096194955109021,0.4903805044890979,0.10942812353671694,1.2147251518056887,0.7768505833021961,0.46285059907117,success,0.10942812353671694
analyze analyze,2,145,59,86,0.061992304403591277,0.4068965517241379,0.593103448275862,0.5096194955109021,0.4903805044890979,-0.10272294378676422,0.7984320759083544,1.2094759943480744,-0.4397952901905224,failure,0.10272294378676422
analyze instantiate compute,3,358,146,212,0.15305686190679776,0.40782122905027934,0.5921787709497207,0.5096194955109021,0.4903805044890979,-0.10179826646062279,0.8002465224401034,1.2075903620326038,-0.4840419560792597,failure,0.10179826646062279
rewrite apply-formula compute,3,112,68,44,0.04788371098760154,0.6071428571428571,0.39285714285714285,0.5096194955109021,0.4903805044890979,0.09752336163195496,1.1913650527325021,0.8011271640303897,0.4124930103934059,success,0.09752336163195496
analyze apply-formula instantiate,3,114,48,66,0.04873877725523728,0.42105263157894735,0.5789473684210527,0.5096194955109021,0.4903805044890979,-0.08856686393195479,0.8262098198516424,1.1806084522553113,-0.3722570437178788,failure,0.08856686393195479
derive-intermediate conclude,2,104,44,60,0.04446344591705857,0.4230769230769231,0.5769230769230769,0.5096194955109021,0.4903805044890979,-0.08654257243397906,0.8301819824470831,1.176480450673999,-0.3617294350309152,failure,0.08654257243397906
apply-formula rewrite,2,557,332,225,0.2381359555365541,0.5960502692998204,0.40394973070017953,0.5096194955109021,0.4903805044890979,0.08643077378891828,1.169598640849228,0.8237475327878988,0.457893461416264,success,0.08643077378891828
compute compare,2,106,45,61,0.045318512184694314,0.42452830188679247,0.5754716981132075,0.5096194955109021,0.4903805044890979,-0.08509119362410966,0.83302994808155,1.1735207514270203,-0.3559489910937833,failure,0.08509119362410966
instantiate compute compute compute compute,5,122,52,70,0.052159042325780246,0.4262295081967213,0.5737704918032787,0.5096194955109021,0.4903805044890979,-0.08338998731418085,0.8363681373088347,1.170051595752283,-0.3516227599671848,failure,0.08338998731418085
derive-intermediate derive-intermediate,2,147,63,84,0.06284737067122702,0.42857142857142855,0.5714285714285714,0.5096194955109021,0.4903805044890979,-0.08104806693947358,0.8409635666347075,1.165275874953294,-0.3459213297322482,failure,0.08104806693947358
compute compute compute compute,4,423,182,241,0.18084651560495937,0.4302600472813239,0.5697399527186762,0.5096194955109021,0.4903805044890979,-0.07935944822957824,0.8442770558649467,1.1618323883251818,-0.3887288067188512,failure,0.07935944822957824
check-constraint compute,2,204,88,116,0.08721675929884566,0.43137254901960786,0.5686274509803921,0.5096194955109021,0.4903805044890979,-0.07824694649129427,0.8464600605342808,1.1595637383113664,-0.34326741134073674,failure,0.07824694649129427
analyze compute,2,146,63,83,0.06241983753740915,0.4315068493150685,0.5684931506849316,0.5096194955109021,0.4903805044890979,-0.07811264619583363,0.8467235910637124,1.1592898687463424,-0.33307657753268766,failure,0.07811264619583363
rewrite compute simplify,3,104,61,43,0.04446344591705857,0.5865384615384616,0.41346153846153844,0.5096194955109021,0.4903805044890979,0.07691896602755943,1.1509341120289107,0.8431443229830325,0.32212479450441356,success,0.07691896602755943
