motif,motif_len,support_total,support_correct,support_incorrect,support_rate,p_correct_given_motif,p_incorrect_given_motif,baseline_correct_rate,baseline_incorrect_rate,delta_correct_vs_baseline,lift_correct,lift_incorrect,log_odds_ratio,indicator_direction,indicator_strength
instantiate instantiate,2,309,185,124,0.11516958628401043,0.598705501618123,0.40129449838187703,0.45956019381289603,0.540439806187104,0.13914530780522694,1.3027792869760129,0.7425331994197076,0.6339324893785474,success,0.13914530780522694
analyze instantiate compute,3,138,82,56,0.05143496086470369,0.5942028985507246,0.4057971014492754,0.45956019381289603,0.540439806187104,0.13464270473782858,1.2929816519153237,0.750864567716142,0.5700281429950437,success,0.13464270473782858
compute check_constraint,2,107,35,72,0.03988073052553112,0.32710280373831774,0.6728971962616822,0.45956019381289603,0.540439806187104,-0.1324573900745783,0.7117735786130628,1.2450918466000644,-0.5741286887898466,failure,0.1324573900745783
apply-formula instantiate compute,3,131,77,54,0.048825941110696984,0.5877862595419847,0.4122137404580153,0.45956019381289603,0.540439806187104,0.12822606572908868,1.279019087065,0.7627375625164518,0.5406481384038404,success,0.12822606572908868
compute instantiate compute,3,174,102,72,0.06485277674245248,0.5862068965517241,0.41379310344827586,0.45956019381289603,0.540439806187104,0.12664670273882805,1.275582403445479,0.7656599286563615,0.5437280021080932,success,0.12664670273882805
analyze apply-formula instantiate,3,156,91,65,0.05814386880357809,0.5833333333333334,0.4166666666666667,0.45956019381289603,0.540439806187104,0.12377313952043734,1.269329548526629,0.7709770114942529,0.5271310711749427,success,0.12377313952043734
apply-formula rewrite,2,158,92,66,0.05888930301900857,0.5822784810126582,0.4177215189873418,0.45956019381289603,0.540439806187104,0.12271828719976219,1.2670341967209748,0.7729288520296814,0.5230025734977375,success,0.12271828719976219
instantiate compute,2,617,354,263,0.22996645546030564,0.5737439222042139,0.42625607779578606,0.45956019381289603,0.540439806187104,0.11418372839131785,1.2484630521280664,0.7887207287766166,0.5969069497219486,success,0.11418372839131785
instantiate check-constraint,2,103,36,67,0.038389862094670144,0.34951456310679613,0.6504854368932039,0.45956019381289603,0.540439806187104,-0.1100456307060999,0.7605414215859967,1.203622363575494,-0.4704348673481281,failure,0.1100456307060999
derive_intermediate,1,239,136,103,0.08907938874394335,0.5690376569037657,0.4309623430962343,0.45956019381289603,0.540439806187104,0.1094774630908697,1.2382222493696702,0.7974289424325495,0.4819691597534165,success,0.1094774630908697
instantiate compute compute,3,190,108,82,0.07081625046589639,0.5684210526315789,0.43157894736842106,0.45956019381289603,0.540439806187104,0.1088608588186829,1.2368805224740682,0.7985698729582578,0.46943974777382574,success,0.1088608588186829
simplify derive-intermediate,2,157,89,68,0.05851658591129333,0.5668789808917197,0.43312101910828027,0.45956019381289603,0.540439806187104,0.1073187870788237,1.2335249843734664,0.8014232374258731,0.45633047401649857,success,0.1073187870788237
compute instantiate,2,348,197,151,0.12970555348490495,0.5660919540229885,0.4339080459770115,0.45956019381289603,0.540439806187104,0.10653176021009247,1.2318124190135264,0.8028795085216013,0.49128288159746336,success,0.10653176021009247
derive-intermediate compute conclude,3,112,63,49,0.04174431606410734,0.5625,0.4375,0.45956019381289603,0.540439806187104,0.10293980618710397,1.2239963503649633,0.8095258620689656,0.429179319997879,success,0.10293980618710397
analyze analyze analyze,3,109,39,70,0.04062616474096161,0.3577981651376147,0.6422018348623854,0.45956019381289603,0.540439806187104,-0.10176202867528134,0.7785664858590594,1.1882948434039862,-0.4345939733068019,failure,0.10176202867528134
instantiate apply_formula,2,119,43,76,0.04435333581811405,0.36134453781512604,0.6386554621848739,0.45956019381289603,0.540439806187104,-0.09821565599776999,0.7862833697956068,1.1817328310634598,-0.42081316105946887,failure,0.09821565599776999
simplify rewrite,2,109,41,68,0.04062616474096161,0.3761467889908257,0.6238532110091743,0.45956019381289603,0.540439806187104,-0.08341340482207033,0.8184929723133701,1.1543435621638722,-0.3532988073975333,failure,0.08341340482207033
analyze rewrite,2,224,121,103,0.08348863212821468,0.5401785714285714,0.45982142857142855,0.45956019381289603,0.540439806187104,0.08061837761567536,1.1754250666203219,0.8508282019704433,0.3519839388179363,success,0.08061837761567536
check-constraint compute,2,163,88,75,0.060752888557584796,0.5398773006134969,0.4601226993865031,0.45956019381289603,0.540439806187104,0.08031710680060089,1.1747695032814374,0.8513856568648192,0.3418459742299837,success,0.08031710680060089
simplify simplify,2,202,109,93,0.07528885575847931,0.5396039603960396,0.4603960396039604,0.45956019381289603,0.540439806187104,0.0800437665831436,1.1741747167417471,0.8518914305223626,0.34626939337063445,success,0.0800437665831436
instantiate simplify,2,295,157,138,0.10995154677599701,0.5322033898305085,0.46779661016949153,0.45956019381289603,0.540439806187104,0.07264319601761249,1.15807112320783,0.8655850379894798,0.32677381029965585,success,0.07264319601761249
compute compare,2,111,43,68,0.0413715989563921,0.38738738738738737,0.6126126126126126,0.45956019381289603,0.540439806187104,-0.07217280642550866,0.8429524414925874,1.1335445790618204,-0.30455273970396884,failure,0.07217280642550866
check-constraint derive-intermediate,2,129,50,79,0.048080506895266495,0.3875968992248062,0.6124031007751938,0.45956019381289603,0.540439806187104,-0.07196329458808981,0.8434083378914478,1.1331569099171344,-0.30635480395535286,failure,0.07196329458808981
apply-formula instantiate,2,328,174,154,0.12225121133060007,0.5304878048780488,0.4695121951219512,0.45956019381289603,0.540439806187104,0.07092761106515277,1.1543380214824046,0.8687594617325484,0.323601872575047,success,0.07092761106515277
simplify,1,1158,614,544,0.4316064107342527,0.5302245250431779,0.4697754749568221,0.45956019381289603,0.540439806187104,0.07066433123028182,1.1537651262699482,0.8692466202132094,0.5016193157587829,success,0.07066433123028182
apply_formula,1,437,171,266,0.1628773760715617,0.391304347826087,0.6086956521739131,0.45956019381289603,0.540439806187104,-0.06825584598680906,0.8514757219930181,1.126296851574213,-0.33209485419963625,failure,0.06825584598680906
analyze derive-intermediate,2,125,49,76,0.04658963846440552,0.392,0.608,0.45956019381289603,0.540439806187104,-0.06756019381289602,0.8529894566098946,1.1250096551724138,-0.2865487872513853,failure,0.06756019381289602
rewrite simplify,2,215,113,102,0.08013417815877749,0.5255813953488372,0.4744186046511628,0.45956019381289603,0.540439806187104,0.06602120153594115,1.143661706180803,0.8778380112269447,0.2871578876817976,success,0.06602120153594115
substitute,1,196,103,93,0.07305255311218785,0.5255102040816326,0.4744897959183674,0.45956019381289603,0.540439806187104,0.06595001026873659,1.143506794445272,0.877969739619986,0.2845949365008485,success,0.06595001026873659
compute compute compute conclude,4,142,56,86,0.052925829295564664,0.39436619718309857,0.6056338028169014,0.45956019381289603,0.540439806187104,-0.06519399662979747,0.8581382863278616,1.1206313744536183,-0.2785092615276179,failure,0.06519399662979747
compute analyze,2,181,72,109,0.06746179649645918,0.39779005524861877,0.6022099447513812,0.45956019381289603,0.540439806187104,-0.061770138564277266,0.8655885792636205,1.1142960563916937,-0.26826186974071153,failure,0.061770138564277266
simplify compute,2,404,210,194,0.15057771151695862,0.5198019801980198,0.4801980198019802,0.45956019381289603,0.540439806187104,0.060241786385123786,1.1310857363108573,0.888531922157733,0.2841554419462378,success,0.060241786385123786
conclude,1,1721,889,832,0.6414461423779352,0.516560139453806,0.4834398605461941,0.45956019381289603,0.540439806187104,0.05699994564090993,1.124031511885289,0.8945304454106474,0.6514293866301204,success,0.05699994564090993
derive-intermediate apply-formula,2,230,93,137,0.08572493477450616,0.4043478260869565,0.5956521739130435,0.45956019381289603,0.540439806187104,-0.055212367725939515,0.879858246059452,1.1021619190404799,-0.24443391341083284,failure,0.055212367725939515
analyze check-constraint,2,103,53,50,0.038389862094670144,0.5145631067961165,0.4854368932038835,0.45956019381289603,0.540439806187104,0.055002912983220464,1.119685981779384,0.8982256444593237,0.2285995557952423,success,0.055002912983220464
compute rewrite,2,168,86,82,0.06261647409616102,0.5119047619047619,0.4880952380952381,0.45956019381289603,0.540439806187104,0.05234456809186583,1.1139014405437762,0.903144499178982,0.223475707143232,success,0.05234456809186583
instantiate rewrite,2,213,109,104,0.079388743943347,0.5117370892018779,0.48826291079812206,0.45956019381289603,0.540439806187104,0.05217689538898185,1.1135365858302013,0.9034547514974908,0.22690761870397294,success,0.05217689538898185
analyze apply-formula,2,495,252,243,0.18449496831904585,0.509090909090909,0.4909090909090909,0.45956019381289603,0.540439806187104,0.049530715278013004,1.107778515077785,0.9083510971786835,0.24351967800298208,success,0.049530715278013004
analyze analyze,2,329,135,194,0.12262392843831532,0.41033434650455924,0.5896656534954408,0.45956019381289603,0.540439806187104,-0.04922584730833679,0.8928848756461739,1.0910847919505293,-0.22707605757976335,failure,0.04922584730833679
apply-formula,1,1283,652,631,0.4781960491986582,0.5081839438815277,0.49181605611847234,0.45956019381289603,0.540439806187104,0.04862375006863162,1.1058049646667791,0.910029295562663,0.375796623631468,success,0.04862375006863162
