motif,motif_len,support_total,support_correct,support_incorrect,support_rate,p_correct_given_motif,p_incorrect_given_motif,baseline_correct_rate,baseline_incorrect_rate,delta_correct_vs_baseline,lift_correct,lift_incorrect,log_odds_ratio,indicator_direction,indicator_strength
compute instantiate transform,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
derive-intermediate solve instantiate,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
check-constraint rewrite solve,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
factor divide,2,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
enumerate filter derive-intermediate,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
compute simplify compare,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
compute compute combine,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
filter derive-intermediate compute,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
transform compute apply-formula,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
simplify solve compute,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
filter derive-intermediate,2,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
combine conclude,2,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
infer substitute compute,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
rearrange factor factor,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
compute compute verify,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
transform compute derive-intermediate,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
transform transform derive-intermediate,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
isolate isolate conclude,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
compute solve compute,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
isolate square isolate,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
transform derive-intermediate apply-formula,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
transform derive-intermediate compute,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
simplify multiply divide,3,5,5,0,0.0018635855385762206,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.5640096843985956,success,0.540439806187104
infer infer,2,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
rearrange expand rearrange,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
factor divide factor,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
analyze check-constraint check-constraint,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
compute simplify combine,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
instantiate apply_theorem instantiate,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
compute instantiate apply_theorem,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
apply-formula check-constraint analyze,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
substitute infer conclude,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
simplify derive_intermediate instantiate,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
derive_intermediate apply_formula instantiate,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
simplify combine compute,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
instantiate compute solve,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
compute combine compute,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
rationalize find_common_denominator,2,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
rearrange divide rearrange,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
check-constraint derive-intermediate solve,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
rewrite analyze analyze,3,4,4,0,0.0014908684308609765,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.362525319241431,success,0.540439806187104
