motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
compute => derive-intermediate|conclude,3,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,compute,derive-intermediate|conclude,1,2,0.32051282051282054,0.0,0.886123677791456,0.0,0.32051282051282054,0.002143434670854555,0.26595744680851063,3.171738969489271
compute => apply-formula|rewrite|compute,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,compute,apply-formula|rewrite|compute,1,3,0.0641025641025641,0.0,0.1721611716987964,0.0,0.0641025641025641,0.438663216985863,0.05319148936170213,1.3848967368532525
compute => compute|simplify|conclude,4,31,4,0.32978723404255317,0.125,0.20478723404255317,2.6382978512340425,1.1447743304312723,0.038135115149771213,compute,compute|simplify|conclude,1,3,0.3974358974358974,0.15384615384615385,1.1320901288653904,1.2307692209230772,0.24358974358974356,0.0813338140538689,0.20478723404255317,1.1447743304312723
analyze => conclude,2,66,26,0.7021276595744681,0.8125,-0.1103723404255319,0.8641571184126905,-0.5580446957033813,0.25753923128889455,analyze,conclude,1,1,0.9850746268656716,0.8387096774193549,1.0064892916387298,1.0322580632456577,0.14636494944631673,0.3893387202426229,0.1103723404255319,0.5580446957033813
analyze => compute,2,51,25,0.5425531914893617,0.78125,-0.23869680851063835,0.6944680842174638,-1.0549545620470637,0.02122844199662592,analyze,compute,1,1,0.7611940298507462,0.8064516129032258,0.9173363938428273,0.9925558300439015,-0.04525758305247951,0.048495196383403216,0.23869680851063835,1.0549545620470637
analyze => compute|conclude,3,50,20,0.5319148936170213,0.625,-0.09308510638297873,0.851063828425532,-0.3682120947269873,0.41385714290338177,analyze,compute|conclude,1,2,0.746268656716418,0.6451612903225806,0.9230164953234177,1.0322580628645162,0.10110736639383733,0.5239472203259562,0.09308510638297873,0.3682120947269873
analyze => analyze|conclude,3,7,0,0.07446808510638298,0.0,0.07446808510638298,74468085.10638297,1.717651497074333,0.1897976265875651,analyze,analyze|conclude,1,2,0.1044776119402985,0.0,0.14880144709698065,0.0,0.1044776119402985,0.30296888219257284,0.07446808510638298,1.717651497074333
analyze => apply-formula,2,66,22,0.7021276595744681,0.6875,0.0146276595744681,1.0212765942591877,0.08515780834030696,1.0,analyze,apply-formula,1,1,0.9850746268656716,0.7096774193548387,1.4029850726286748,0.987377277728642,0.27539720751083285,1.0,0.0146276595744681,0.08515780834030696
analyze => analyze|apply-formula,3,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,analyze,analyze|apply-formula,1,2,0.08955223880597014,0.0,0.1275440975116977,0.0,0.08955223880597014,0.438663216985863,0.06382978723404255,1.5631868947833447
analyze => rewrite,2,53,29,0.5638297872340425,0.90625,-0.34242021276595747,0.6221570059165633,-1.8776390681850978,0.0004444944900699159,analyze,rewrite,1,1,0.7910447761194029,0.9354838709677419,1.2603086243517776,1.0322580633770857,-0.14443909484833894,0.002004124279788919,0.34242021276595747,1.8776390681850978
analyze => analyze|apply-formula|conclude,4,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,analyze,analyze|apply-formula|conclude,1,3,0.08955223880597014,0.0,0.12950631439365537,0.0,0.08955223880597014,0.438663216985863,0.06382978723404255,1.5631868947833447
analyze => apply-formula|conclude,3,65,19,0.6914893617021277,0.59375,0.09773936170212771,1.1646136598526553,0.42993509917011474,0.38575070420568147,analyze,apply-formula|conclude,1,2,0.9701492537313433,0.6129032258064516,1.4029850725979334,1.0322580627775892,0.3572460279248917,0.49216545005071655,0.09773936170212771,0.42993509917011474
analyze => rewrite|conclude,3,53,25,0.5638297872340425,0.78125,-0.21742021276595747,0.7217021267357957,-0.9697872049568074,0.03527073342193667,analyze,rewrite|conclude,1,2,0.7910447761194029,0.8064516129032258,1.2603086243517776,1.0322580631948386,-0.01540683678382282,0.07882242164728456,0.21742021276595747,0.9697872049568074
analyze => compute|compute,3,31,25,0.32978723404255317,0.78125,-0.45146276595744683,0.4221276590341447,-1.9248277916891743,1.0689746268210568e-05,analyze,compute|compute,1,2,0.4626865671641791,0.8064516129032258,0.7498713317749126,0.9925558300439015,-0.34376504573904665,6.464152449247332e-05,0.45146276595744683,1.9248277916891743
analyze => analyze|rewrite,3,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,analyze,analyze|rewrite,1,2,0.08955223880597014,0.0,0.15882849873266633,0.0,0.08955223880597014,0.438663216985863,0.06382978723404255,1.5631868947833447
analyze => analyze|rewrite|conclude,4,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,analyze,analyze|rewrite|conclude,1,3,0.08955223880597014,0.0,0.15882849873266633,0.0,0.08955223880597014,0.438663216985863,0.06382978723404255,1.5631868947833447
analyze => compute|compute|conclude,4,31,20,0.32978723404255317,0.625,-0.29521276595744683,0.5276595736238298,-1.1957486019031656,0.006136208257947833,analyze,compute|compute|conclude,1,3,0.4626865671641791,0.6451612903225806,0.7630269691527772,1.0322580628645162,-0.18247472315840152,0.017636903443730777,0.29521276595744683,1.1957486019031656
analyze => analyze|compute,3,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,analyze,analyze|compute,1,2,0.08955223880597014,0.0,0.16505706729893785,0.0,0.08955223880597014,0.438663216985863,0.06382978723404255,1.5631868947833447
analyze => analyze|compute|conclude,4,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,analyze,analyze|compute|conclude,1,3,0.08955223880597014,0.0,0.16835820863871045,0.0,0.08955223880597014,0.438663216985863,0.06382978723404255,1.5631868947833447
analyze => simplify,2,32,11,0.3404255319148936,0.34375,-0.0033244680851063912,0.9903288172350975,-0.028220567642251206,1.0,analyze,simplify,1,1,0.47761194029850745,0.3548387096774194,0.7740607295741033,1.0322580615131964,0.12277323062108808,1.0,0.0033244680851063912,0.028220567642251206
analyze => apply-formula|compute,3,50,16,0.5319148936170213,0.5,0.03191489361702127,1.063829785106383,0.1264841471091197,0.8385770278519106,analyze,apply-formula|compute,1,2,0.746268656716418,0.5161290322580645,1.4029850719892538,0.9715370000687577,0.23013962445835345,0.9190375102684052,0.03191489361702127,0.1264841471091197
analyze => analyze|apply-formula|compute,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,analyze,analyze|apply-formula|compute,1,3,0.07462686567164178,0.0,0.14029850719892537,0.0,0.07462686567164178,0.438663216985863,0.05319148936170213,1.3848967368532525
