motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
rewrite => compute|compute|compute,4,16,22,0.1702127659574468,0.6875,-0.5172872340425532,0.24758220466889397,-2.3218782959287245,1.3253268036353083e-07,rewrite,compute|compute|compute,1,3,0.2711864406779661,0.7586206896551724,0.6372881340955932,0.9710344815156965,-0.4874342489772063,1.4460783223643133e-06,0.5172872340425532,2.3218782959287245
rewrite|compute => compute|compute,4,16,22,0.1702127659574468,0.6875,-0.5172872340425532,0.24758220466889397,-2.3218782959287245,1.3253268036353083e-07,rewrite|compute,compute|compute,2,2,0.38095238095238093,0.9565217391304348,0.6174055819222014,1.1772575236346798,-0.5755693581780539,1.4460783223643133e-06,0.5172872340425532,2.3218782959287245
rewrite|compute|compute => compute,4,16,22,0.1702127659574468,0.6875,-0.5172872340425532,0.24758220466889397,-2.3218782959287245,1.3253268036353083e-07,rewrite|compute|compute,compute,3,1,0.5925925925925926,1.0,0.7141500466227385,1.2307692292544379,-0.40740740740740744,1.4460783223643133e-06,0.5172872340425532,2.3218782959287245
analyze => instantiate|conclude,3,23,24,0.24468085106382978,0.75,-0.5053191489361702,0.32624113431678486,-2.1713039826042593,1.076402452343002e-06,analyze,instantiate|conclude,1,2,0.34328358208955223,0.7741935483870968,1.3445273579180141,1.0322580631397849,-0.4309099662975445,9.070014106627919e-06,0.5053191489361702,2.1713039826042593
analyze|instantiate => conclude,3,23,24,0.24468085106382978,0.75,-0.5053191489361702,0.32624113431678486,-2.1713039826042593,1.076402452343002e-06,analyze|instantiate,conclude,2,1,0.9583333333333334,0.8275862068965517,0.9791666656662139,1.0185676380036728,0.13074712643678166,9.070014106627919e-06,0.5053191489361702,2.1713039826042593
instantiate => conclude,2,24,24,0.2553191489361702,0.75,-0.4946808510638298,0.3404255314609929,-2.1155465463219523,1.3374328651212333e-06,instantiate,conclude,1,1,0.96,0.8275862068965517,0.9808695642151986,1.0185676380036728,0.13241379310344825,1.091175385194149e-05,0.4946808510638298,2.1155465463219523
compute => compute|compute|compute,4,25,24,0.26595744680851063,0.75,-0.48404255319148937,0.35460992860520096,-2.0612552544607765,2.0006090503233434e-06,compute,compute|compute|compute,1,3,0.32051282051282054,0.9230769230769231,0.7532051264350962,1.1815384600260923,-0.6025641025641026,1.5820200797941514e-05,0.48404255319148937,2.0612552544607765
compute|compute|compute => compute,4,25,24,0.26595744680851063,0.75,-0.48404255319148937,0.35460992860520096,-2.0612552544607765,2.0006090503233434e-06,compute|compute|compute,compute,3,1,0.625,0.96,0.7532051272974195,1.1815384600842604,-0.33499999999999996,1.5820200797941514e-05,0.48404255319148937,2.0612552544607765
compute => rewrite,2,17,21,0.18085106382978725,0.65625,-0.4753989361702128,0.2755825730349786,-2.1137829551942455,1.2436008690708157e-06,compute,rewrite,1,1,0.21794871794871795,0.8076923076923077,0.34724032973794744,0.8912466833666881,-0.5897435897435898,1.030985236616773e-05,0.4753989361702128,2.1137829551942455
instantiate|compute => rewrite|conclude,4,6,17,0.06382978723404255,0.53125,-0.46742021276595747,0.12015018750850327,-2.7325612321165598,5.262159937926705e-08,instantiate|compute,rewrite|conclude,2,2,0.2727272727272727,0.68,0.43451463721219086,0.8703999988858881,-0.40727272727272734,6.919006093283545e-07,0.46742021276595747,2.7325612321165598
instantiate => compute|compute|conclude,4,16,20,0.1702127659574468,0.625,-0.45478723404255317,0.27234042509617024,-2.054434485717935,2.7219300397850076e-06,instantiate,compute|compute|conclude,1,3,0.64,0.6896551724137931,1.0554385947506801,1.1034482740965519,-0.049655172413793136,1.9431556117354082e-05,0.45478723404255317,2.054434485717935
instantiate|compute => compute|conclude,4,16,20,0.1702127659574468,0.625,-0.45478723404255317,0.27234042509617024,-2.054434485717935,2.7219300397850076e-06,instantiate|compute,compute|conclude,2,2,0.7272727272727273,0.8,0.8995215299879125,1.279999997952,-0.07272727272727275,1.9431556117354082e-05,0.45478723404255317,2.054434485717935
instantiate|compute|compute => conclude,4,16,20,0.1702127659574468,0.625,-0.45478723404255317,0.27234042509617024,-2.054434485717935,2.7219300397850076e-06,instantiate|compute|compute,conclude,3,1,1.0,0.8,1.0217391293908318,0.9846153834035504,0.19999999999999996,1.9431556117354082e-05,0.45478723404255317,2.054434485717935
analyze => compute|compute,3,31,25,0.32978723404255317,0.78125,-0.45146276595744683,0.4221276590341447,-1.9248277916891743,1.0689746268210568e-05,analyze,compute|compute,1,2,0.4626865671641791,0.8064516129032258,0.7498713317749126,0.9925558300439015,-0.34376504573904665,6.464152449247332e-05,0.45146276595744683,1.9248277916891743
analyze|compute => compute,3,31,25,0.32978723404255317,0.78125,-0.45146276595744683,0.4221276590341447,-1.9248277916891743,1.0689746268210568e-05,analyze|compute,compute,2,1,0.6078431372549019,1.0,0.732528908116706,1.2307692292544379,-0.3921568627450981,6.464152449247332e-05,0.45146276595744683,1.9248277916891743
instantiate => rewrite|compute|conclude,4,14,19,0.14893617021276595,0.59375,-0.44481382978723405,0.2508398651990334,-2.081833315123306,2.8795237053831147e-06,instantiate,rewrite|compute|conclude,1,3,0.56,0.6551724137931034,1.2533333305282541,1.1034482740036298,-0.09517241379310337,1.9734335794225614e-05,0.44481382978723405,2.081833315123306
instantiate|rewrite => compute|conclude,4,14,19,0.14893617021276595,0.59375,-0.44481382978723405,0.2508398651990334,-2.081833315123306,2.8795237053831147e-06,instantiate|rewrite,compute|conclude,2,2,0.7777777777777778,0.7037037037037037,0.9619883029037397,1.1259259241244446,0.07407407407407407,1.9734335794225614e-05,0.44481382978723405,2.081833315123306
instantiate|rewrite|compute => conclude,4,14,19,0.14893617021276595,0.59375,-0.44481382978723405,0.2508398651990334,-2.081833315123306,2.8795237053831147e-06,instantiate|rewrite|compute,conclude,3,1,1.0,0.8260869565217391,1.0217391293908318,1.0167224067754053,0.17391304347826086,1.9734335794225614e-05,0.44481382978723405,2.081833315123306
compute => rewrite|compute|conclude,4,10,17,0.10638297872340426,0.53125,-0.42486702127659576,0.20025031251417214,-2.206737134203918,2.423572252191234e-06,compute,rewrite|compute|conclude,1,3,0.1282051282051282,0.6538461538461539,0.2869352862930984,1.1012145730441083,-0.5256410256410257,1.8143819416831946e-05,0.42486702127659576,2.206737134203918
compute|rewrite => compute|conclude,4,10,17,0.10638297872340426,0.53125,-0.42486702127659576,0.20025031251417214,-2.206737134203918,2.423572252191234e-06,compute|rewrite,compute|conclude,2,2,0.5882352941176471,0.8095238095238095,0.7275541786666939,1.2952380931657144,-0.22128851540616246,1.8143819416831946e-05,0.42486702127659576,2.206737134203918
analyze => instantiate|compute|conclude,4,20,20,0.2127659574468085,0.625,-0.4122340425531915,0.3404255313702128,-1.7850704810772584,4.151065307072717e-05,analyze,instantiate|compute|conclude,1,3,0.29850746268656714,0.6451612903225806,1.3361762555684165,1.0322580628645162,-0.3466538276360135,0.00022459448082477648,0.4122340425531915,1.7850704810772584
analyze|instantiate => compute|conclude,4,20,20,0.2127659574468085,0.625,-0.4122340425531915,0.3404255313702128,-1.7850704810772584,4.151065307072717e-05,analyze|instantiate,compute|conclude,2,2,0.8333333333333334,0.6896551724137931,1.0307017531111498,1.1034482740965519,0.14367816091954022,0.00022459448082477648,0.4122340425531915,1.7850704810772584
analyze|instantiate|compute => conclude,4,20,20,0.2127659574468085,0.625,-0.4122340425531915,0.3404255313702128,-1.7850704810772584,4.151065307072717e-05,analyze|instantiate|compute,conclude,3,1,0.9523809523809523,0.8,0.9730848851341255,0.9846153834035504,0.15238095238095228,0.00022459448082477648,0.4122340425531915,1.7850704810772584
analyze => rewrite|compute|compute,4,26,22,0.2765957446808511,0.6875,-0.4109042553191489,0.4023210825869527,-1.7118290643228997,5.4389530890123486e-05,analyze,rewrite|compute|compute,1,3,0.3880597014925373,0.7096774193548387,1.3510226597519397,1.032258063014663,-0.3216177178623014,0.00028526753956656603,0.4109042553191489,1.7118290643228997
analyze|rewrite => compute|compute,4,26,22,0.2765957446808511,0.6875,-0.4109042553191489,0.4023210825869527,-1.7118290643228997,5.4389530890123486e-05,analyze|rewrite,compute|compute,2,2,0.49056603773584906,0.7586206896551724,0.7950553012488727,0.9336870015033667,-0.2680546519193233,0.00028526753956656603,0.4109042553191489,1.7118290643228997
analyze|rewrite|compute => compute,4,26,22,0.2765957446808511,0.6875,-0.4109042553191489,0.4023210825869527,-1.7118290643228997,5.4389530890123486e-05,analyze|rewrite|compute,compute,3,1,0.6341463414634146,0.9565217391304348,0.7642276413554305,1.1772575236346798,-0.32237539766702017,0.00028526753956656603,0.4109042553191489,1.7118290643228997
