motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
apply-formula => apply-formula|compute,3,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,apply-formula,apply-formula|compute,1,2,0.22727272727272727,0.0,0.4272727264694546,0.0,0.22727272727272727,0.029180013577944714,0.1595744680851064,2.539470272160552
apply-formula => apply-formula|compute|conclude,4,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,apply-formula,apply-formula|compute|conclude,1,3,0.22727272727272727,0.0,0.43599257801332775,0.0,0.22727272727272727,0.029180013577944714,0.1595744680851064,2.539470272160552
apply-formula => rewrite|apply-formula,3,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,apply-formula,rewrite|apply-formula,1,2,0.22727272727272727,0.0,0.7912457884910835,0.0,0.22727272727272727,0.029180013577944714,0.1595744680851064,2.539470272160552
apply-formula => rewrite|apply-formula|conclude,4,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,apply-formula,rewrite|apply-formula|conclude,1,3,0.22727272727272727,0.0,0.7912457884910835,0.0,0.22727272727272727,0.029180013577944714,0.1595744680851064,2.539470272160552
analyze|apply-formula => apply-formula|compute,4,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,analyze|apply-formula,apply-formula|compute,2,2,0.22727272727272727,0.0,0.4272727264694546,0.0,0.22727272727272727,0.029180013577944714,0.1595744680851064,2.539470272160552
analyze|apply-formula => rewrite|apply-formula,4,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,analyze|apply-formula,rewrite|apply-formula,2,2,0.22727272727272727,0.0,0.7912457884910835,0.0,0.22727272727272727,0.029180013577944714,0.1595744680851064,2.539470272160552
analyze|apply-formula|rewrite => apply-formula,4,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,analyze|apply-formula|rewrite,apply-formula,3,1,0.3409090909090909,0.0,0.48553718939112195,0.0,0.3409090909090909,0.029180013577944714,0.1595744680851064,2.539470272160552
apply-formula|rewrite => apply-formula,3,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,apply-formula|rewrite,apply-formula,2,1,0.3409090909090909,0.0,0.48553718939112195,0.0,0.3409090909090909,0.029180013577944714,0.1595744680851064,2.539470272160552
apply-formula|rewrite => apply-formula|conclude,4,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,apply-formula|rewrite,apply-formula|conclude,2,2,0.3409090909090909,0.0,0.493006992294029,0.0,0.3409090909090909,0.029180013577944714,0.1595744680851064,2.539470272160552
apply-formula|rewrite => rewrite|compute,4,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,apply-formula|rewrite,rewrite|compute,2,2,0.3409090909090909,0.0,0.7629870112793753,0.0,0.3409090909090909,0.029180013577944714,0.1595744680851064,2.539470272160552
rewrite => rewrite|conclude,3,29,5,0.30851063829787234,0.15625,0.15226063829787234,1.9744680724697874,0.8117780331386683,0.11040760919668585,rewrite,rewrite|conclude,1,2,0.4915254237288136,0.1724137931034483,0.7831083009643441,0.22068965488993106,0.3191116306253653,0.20123940115991676,0.15226063829787234,0.8117780331386683
derive-intermediate => compute|compute,3,14,0,0.14893617021276595,0.0,0.14893617021276595,148936170.21276593,2.4602787348976483,0.02013396695139321,derive-intermediate,compute|compute,1,2,0.4,0.0,0.6482758610183116,0.0,0.4,0.04620026345096478,0.14893617021276595,2.4602787348976483
derive-intermediate => compute|compute|conclude,4,14,0,0.14893617021276595,0.0,0.14893617021276595,148936170.21276593,2.4602787348976483,0.02013396695139321,derive-intermediate,compute|compute|conclude,1,3,0.4,0.0,0.6596491217191751,0.0,0.4,0.04620026345096478,0.14893617021276595,2.4602787348976483
derive-intermediate => compute|compute|simplify,4,14,0,0.14893617021276595,0.0,0.14893617021276595,148936170.21276593,2.4602787348976483,0.02013396695139321,derive-intermediate,compute|compute|simplify,1,3,0.4,0.0,1.212903222128616,0.0,0.4,0.04620026345096478,0.14893617021276595,2.4602787348976483
analyze => apply-formula|simplify,3,31,6,0.32978723404255317,0.1875,0.14228723404255317,1.7588652388463357,0.7042901960235266,0.17746388619711367,analyze,apply-formula|simplify,1,2,0.4626865671641791,0.1935483870967742,1.402985070372653,1.0322580590107526,0.2691381800674049,0.29236037661960396,0.14228723404255317,0.7042901960235266
apply-formula => simplify,2,31,6,0.32978723404255317,0.1875,0.14228723404255317,1.7588652388463357,0.7042901960235266,0.17746388619711367,apply-formula,simplify,1,1,0.4696969696969697,0.2608695652173913,0.7612330186199872,0.7588932784247214,0.20882740447957843,0.29236037661960396,0.14228723404255317,0.7042901960235266
analyze|apply-formula => simplify,3,31,6,0.32978723404255317,0.1875,0.14228723404255317,1.7588652388463357,0.7042901960235266,0.17746388619711367,analyze|apply-formula,simplify,2,1,0.4696969696969697,0.2727272727272727,0.7612330186199872,0.7933884274440269,0.19696969696969702,0.29236037661960396,0.14228723404255317,0.7042901960235266
analyze|rewrite => rewrite,3,28,5,0.2978723404255319,0.15625,0.1416223404255319,1.9063829665225531,0.7621400520468967,0.16235851253822695,analyze|rewrite,rewrite,2,1,0.5283018867924528,0.1724137931034483,0.8417013098198415,0.19024970252490878,0.35588809368900454,0.27271985439427665,0.1416223404255319,0.7621400520468967
analyze|rewrite => rewrite|conclude,4,28,5,0.2978723404255319,0.15625,0.1416223404255319,1.9063829665225531,0.7621400520468967,0.16235851253822695,analyze|rewrite,rewrite|conclude,2,2,0.5283018867924528,0.1724137931034483,0.8417013098198415,0.22068965488993106,0.35588809368900454,0.27271985439427665,0.1416223404255319,0.7621400520468967
analyze|apply-formula|rewrite => rewrite,4,22,3,0.23404255319148937,0.09375,0.14029255319148937,2.4964538740803786,0.9615560422001515,0.12282177495317383,analyze|apply-formula|rewrite,rewrite,3,1,0.5,0.375,0.79661016822235,0.4137931029916766,0.125,0.22151014851203982,0.14029255319148937,0.9615560422001515
apply-formula|rewrite => rewrite,3,22,3,0.23404255319148937,0.09375,0.14029255319148937,2.4964538740803786,0.9615560422001515,0.12282177495317383,apply-formula|rewrite,rewrite,2,1,0.5,0.375,0.79661016822235,0.4137931029916766,0.125,0.22151014851203982,0.14029255319148937,0.9615560422001515
